mean,variance,homogeneity,contrast,dissimilarity,entroy,energy,correlation,ASM
-0.2085495615340983,-0.03519350279431136,-0.01706804783973794,-0.19623121344068842,-0.19623121344068842,0.913973132759187,-0.023447877134839392,-0.20206122960710274,-0.03519048696772017
-0.20601813194340712,-0.03636307426569736,-0.02013341367457932,-0.19499142693567764,-0.19499142693567764,0.9151981581204964,-0.025817986252584538,-0.2005225444168108,-0.03636015369606196
-0.21353501568317956,-0.02952796094848621,-0.010823592411964155,-0.20078375603440043,-0.20078375603440043,0.9101787832812942,-0.01738736467881598,-0.20781256702982442,-0.02952477046022284
-0.21391435670363723,-0.02997659462885305,-0.00981979444919961,-0.20007296473111136,-0.20007296473111136,0.9100491171625883,-0.016901662425761143,-0.20931740477507363,-0.029973374717840673
-0.2141268984457532,-0.030238517322635227,-0.0092972125425938,-0.199695736612111,-0.199695736612111,0.909990773990664,-0.01666059884717396,-0.21004079191370637,-0.03023528169457945
-0.20983001438078974,-0.03552401984692806,-0.01473302129557978,-0.19554150151968552,-0.19554150151968552,0.9134427127477388,-0.022074458294376435,-0.20467726207096512,-0.03552093381972841
-0.21385256182074167,-0.029674123690744774,-0.010164438896708162,-0.20050374309885655,-0.20050374309885655,0.9100401484862353,-0.017016054883883042,-0.2086545692566768,-0.029670913739768035
-0.21522689174887397,-0.030211274122401734,-0.007576950075534203,-0.19955023589969692,-0.19955023589969692,0.9094724742963587,-0.015554949487561335,-0.21159395110550325,-0.03020798595709036
-0.21551542245384148,-0.029643670092429547,-0.007609182627045544,-0.20033233648804727,-0.20033233648804727,0.9092783439484697,-0.01537750362372014,-0.21082751039338388,-0.02964038178195474
-0.21753187691777318,-0.02851805288920097,-0.005282640898454386,-0.201551472668551,-0.201551472668551,0.9081699249145699,-0.013501220848774172,-0.21171849579811375,-0.02851469222515159
-0.21602217593548187,-0.029606870880861277,-0.006763146711159628,-0.20023435720049595,-0.20023435720049595,0.9090113778976643,-0.014823699165577782,-0.2117232134894564,-0.029603557314135456
-0.2145998963401252,-0.02964788035595385,-0.008975096885429867,-0.20040246854053897,-0.20040246854053897,0.9096822306057671,-0.016246792578834348,-0.2097629929859056,-0.02964463437844041
-0.21430530651120402,-0.03189252159017804,-0.008596392437408519,-0.19814167198945357,-0.19814167198945357,0.9103903071640719,-0.01682571654178897,-0.21059776677674705,-0.03188925932783788
-0.21507962774405218,-0.02940764485403753,-0.00839961939774008,-0.200653858175781,-0.200653858175781,0.9094252828620265,-0.015795360523698735,-0.21003093295813965,-0.029404381032796342
-0.2144354716775685,-0.029648077531951606,-0.009238109454663527,-0.20043024462828954,-0.20043024462828954,0.9097595944225948,-0.01641475300965389,-0.20951785394900702,-0.029644839543170928
-0.21413701509825755,-0.029809443042167153,-0.009592227985460772,-0.20026224359757508,-0.20026224359757508,0.9099220016951842,-0.01669759512011041,-0.20935501724759822,-0.029806216006439994
-0.21520282826002898,-0.028907611552362853,-0.008661852339698082,-0.2013762844169379,-0.2013762844169379,0.9093204875308313,-0.01578903700934114,-0.2091022351110533,-0.0289043544244708
-0.21398924387899565,-0.029602745941860843,-0.010020390631524581,-0.20059463300842129,-0.20059463300842129,0.9099724374810622,-0.016899516906421778,-0.2086717427476097,-0.029599531357806883
-0.21411012966706058,-0.02976540146709467,-0.009669346474850083,-0.20032670808943343,-0.20032670808943343,0.9099285997671225,-0.01673138809306396,-0.20923674117084776,-0.02976217671533825
-0.21552340755702384,-0.02963303424552982,-0.007522030344657267,-0.20027224520362444,-0.20027224520362444,0.9092470726711088,-0.015315485765481572,-0.21107888038722014,-0.029629743963947002
-0.21410055944766435,-0.029557232541182022,-0.009871699846426713,-0.200633033963989,-0.200633033963989,0.9099123983888685,-0.016788353343147672,-0.20877447184912168,-0.029554013433348136
-0.21480276485862226,-0.029762532233331456,-0.008569474804763482,-0.20021721365165748,-0.20021721365165748,0.9096044023999342,-0.016028538223521682,-0.21024739096681896,-0.02975927400956142
-0.21411707186579332,-0.029769510089482306,-0.00965867907240856,-0.20032305565779682,-0.20032305565779682,0.9099270207209602,-0.016726120746576447,-0.20924324264292007,-0.029766284988186082
-0.1479701699170096,-0.10716538466661978,-0.08444632329051623,-0.12997237090710964,-0.13084132537261153,0.9410984826951144,-0.09378806274869084,-0.13975055980485349,-0.10716428598770328
-0.21316330279813456,-0.03012217541590878,-0.010935970230989,-0.20002401586197013,-0.20002401586197013,0.9104269817681384,-0.017667002766280922,-0.20837150947891367,-0.030118989353971403
-0.2141866241389261,-0.029438574880491064,-0.009828073332589001,-0.20078131540687974,-0.20078131540687974,0.9098564023889929,-0.01671886720589514,-0.20868627774896387,-0.029435354268368102
-0.2104653512729661,-0.03497007330036112,-0.014202666812857876,-0.1962415812589624,-0.1962415812589624,0.9131055369216297,-0.02154315955596584,-0.20447415348187803,-0.03496696997967557
-0.2744670971848679,-0.13868645978642882,0.08165284504881441,-0.07650844225086698,-0.07650844225086698,0.8975084519571167,-0.02606376473081533,-0.2482475754383605,-0.13867951536372472
-0.21362908732113717,-0.029660409253042027,-0.010555506064079739,-0.2005779375931226,-0.2005779375931226,0.9101491772887335,-0.01726191794709926,-0.20822917056660217,-0.029657210950527785
-0.2158185385981368,-0.029514434055811386,-0.007223340347922388,-0.2004555007519477,-0.2004555007519477,0.9091165331534722,-0.015086212775827832,-0.2110518720124088,-0.029511133859469362
-0.15501769865213524,-0.12811417668039307,-0.0786694275130387,-0.09562261545333538,-0.10505818375982073,0.9405250797335539,-0.10312913606747016,-0.14680119670750688,-0.12811264489985377
-0.2163025808750956,-0.029374656271979535,-0.006504024822942264,-0.20051391174004943,-0.20051391174004943,0.90884966652064,-0.014577316288213583,-0.211691930316259,-0.02937133446605106
-0.26576969356180885,-0.10826391402873198,0.0686770038208913,-0.11751183603387048,-0.11751183603387048,0.9027218276676292,-0.012139650656244262,-0.24194422165725446,-0.10825767951673987
-0.26343322628392246,-0.09905612256622741,0.06405799967780916,-0.1317615652170049,-0.1317615652170049,0.9040927170034703,-0.009239363806530598,-0.23384875285632023,-0.09905012073426872
-0.2164628951257478,-0.02885074958602386,-0.006693250700624732,-0.20124430972008903,-0.20124430972008903,0.9087156118493397,-0.01451441981478229,-0.21085824461122807,-0.02884743257075509
-0.21177442935849408,-0.030446712937923195,-0.012956838062888934,-0.19985079667384828,-0.19985079667384828,0.9111254690326805,-0.019076173186496917,-0.20672613395856335,-0.030443588180617685
-0.2152899206652512,-0.02935413972974064,-0.008128707675503891,-0.20071196546683087,-0.20071196546683087,0.9093260465501763,-0.01560453138112844,-0.21017394876026954,-0.02935086740462045
-0.2151492006573301,-0.02942462772536043,-0.008274786926105055,-0.2006182342440168,-0.2006182342440168,0.9093945631111943,-0.015721686194666806,-0.21016643298464432,-0.02942136013505398
-0.2164972223920607,-0.029251324433636292,-0.00635290286531164,-0.200707421572951,-0.200707421572951,0.9087606555995147,-0.014439920534589144,-0.21155644488499417,-0.029247997343020873
-0.21381808834955532,-0.029652018158130816,-0.010244104375258646,-0.20054558566787958,-0.20054558566787958,0.9100554006086606,-0.017059440522827096,-0.2085417673360552,-0.02964881053107463
-0.2160710535644819,-0.030472050459666358,-0.006328744808454987,-0.1993000056457146,-0.1993000056457146,0.9091990480408442,-0.01486370429903553,-0.21239476160088025,-0.030468722016896255
-0.21518868514384373,-0.029380089055783876,-0.008244997549599994,-0.2006715038647223,-0.2006715038647223,0.9093695133784966,-0.015687005065925356,-0.2101489083203065,-0.0293768205135926
-0.21513726847848466,-0.029106707104217422,-0.008586804527407798,-0.20109464605460614,-0.20109464605460614,0.9093711844409206,-0.015810372488976553,-0.2094372915496624,-0.02910344818295972
-0.21566321803868993,-0.029476211012587572,-0.007418540834365079,-0.2004625249336014,-0.2004625249336014,0.90915933294798,-0.01519431018835174,-0.21100908560326792,-0.029472917403515143
-0.21489981642154352,-0.02991807704077458,-0.008303442619666902,-0.19999475220261695,-0.19999475220261695,0.9095821904941431,-0.015913905723007233,-0.21064263344500467,-0.02991481083891279
-0.21492419513721864,-0.02988493685528912,-0.008280592249761723,-0.20002767467823437,-0.20002767467823437,0.9095632887044661,-0.015887376285768206,-0.21064916882202242,-0.029881669997937413
-0.21593551287930038,-0.029508040602849773,-0.006972381980054343,-0.20038201306501266,-0.20038201306501266,0.9090380377840663,-0.014921869892709235,-0.21143147296009757,-0.029504733339029855
-0.21127904807221173,-0.03065411377371134,-0.013614511941385814,-0.19967148877121532,-0.19967148877121532,0.9113874141658606,-0.019571197620951022,-0.20627455619263216,-0.030651009022537822
-0.21644909235652998,-0.029654061599583708,-0.006118285350169252,-0.20015637117340299,-0.20015637117340299,0.9088363920257708,-0.014432750143518568,-0.2122187324028992,-0.02965072782626429
-0.2099055173052131,-0.035401709448690526,-0.01470183367574319,-0.19569194737068937,-0.19569194737068937,0.9133921552108343,-0.0220112704375267,-0.20458930723701454,-0.035398622365267335
-0.15505208976002943,-0.12747926290937253,-0.0783927578773341,-0.09727812531493912,-0.10623924227154741,0.940583861063827,-0.1025719696882862,-0.14609267883539728,-0.12747773440692067
-0.21028868613821594,-0.030750066575734297,-0.015252516474107428,-0.19979464329808347,-0.19979464329808347,0.9118841279653508,-0.020659908988117415,-0.20459665276618968,-0.030747010426819082
-0.21244577586626345,-0.030175110170433884,-0.012065533043575724,-0.20008674641017335,-0.20008674641017335,0.9107721171252217,-0.018409179636329858,-0.20733106734174914,-0.030171958246522784
-0.21542784131276657,-0.029424793137846714,-0.007833124144592649,-0.20057340372367208,-0.20057340372367208,0.9092638584043143,-0.015440325933863006,-0.2105694543395167,-0.02942151208838481
-0.21595057573831425,-0.030180826825685726,-0.0074595792261972875,-0.2003700810015694,-0.2003700810015694,0.909444794271046,-0.015504574940349002,-0.20943154897709107,-0.030177526560270094
